symbol,net_shares_90d,net_dollar_90d,tx_count,buy_count,sell_count,last_trade_date,rank,rank_pct
MGTI,1250000000.0,610120000650000.0,4,4,0,2025-09-23,1,1.0
VTVT,1966428.0,23955652.080000002,3,3,0,2025-09-22,2,0.9900990099009901
NEXT,1001329.0,7010032.349400001,2,2,0,2025-09-24,3,0.9801980198019802
DNTH,120000.0,4544400.0,2,2,0,2025-09-23,4,0.9702970297029703
MASI,-8078.0,2131950.0,3,1,2,2025-09-23,5,0.9603960396039604
SCHL,81806.0,2108958.6799999997,6,6,0,2025-09-23,6,0.9504950495049505
PSEC,741158.0,1939610.486,1,1,0,2025-09-24,7,0.9405940594059405
MRAI,896903.0,949999.6575999999,1,1,0,2025-09-10,8,0.9306930693069306
GLP,12500.0,625900.0,3,3,0,2025-09-25,9,0.9207920792079208
WOR,43450.0,531898.95,13,13,0,2025-09-25,10,0.9108910891089109
NONE,111120.27,395024.6228,2,2,0,2025-09-24,11,0.900990099009901
STRR,8600.0,98642.0,1,1,0,2025-09-23,12,0.8910891089108911
CBUS,54722.0,76610.79999999999,1,1,0,2025-09-11,13,0.8811881188118812
NYC,5589.0,55815.479999999996,3,3,0,2025-09-25,14,0.8712871287128713
BUKS,25692.0,46245.600000000006,3,3,0,2025-09-26,15,0.8613861386138614
FROPX,1234.768,21213.31424,1,1,0,2025-09-24,16,0.8514851485148515
PFX,248.0,11842.0,1,1,0,2025-09-23,17,0.8415841584158416
ALZN,2762.0,4538.270599999951,5,1,4,2025-09-25,18,0.8316831683168316
RCG,1130.0,2960.6,7,7,0,2025-09-25,19,0.8217821782178218
TPL,1.0,929.38,1,1,0,2025-09-25,20,0.8118811881188119
GPUS,1500.0,597.6,2,2,0,2025-09-24,21,0.801980198019802
CBAN,25.0,442.5,1,1,0,2025-09-23,22,0.7920792079207921
KDK,11415911.0,0.0,5,4,1,2025-09-24,23,0.7821782178217822
TBHC,493852.0,0.0,7,7,0,2025-09-23,24,0.7722772277227723
MOBX,281130.0,0.0,6,6,0,2025-09-23,25,0.7623762376237624
IONQ,77520.0,0.0,2,2,0,2025-09-10,26,0.7524752475247525
CNVS,71699.0,0.0,1,1,0,2025-09-23,27,0.7425742574257426
VUZI,65295.0,0.0,1,1,0,2025-08-05,28,0.7326732673267327
CULP,40380.0,0.0,9,6,3,2025-09-25,29,0.7227722772277227
FOX,3346.0,0.0,19,19,0,2025-09-24,30,0.7128712871287128
VZ,970.079,0.0,8,8,0,2025-09-25,31,0.7029702970297029
AMKR,392.78580000000005,0.0,15,15,0,2025-09-23,32,0.693069306930693
ALOT,0.0,0.0,2,1,1,2025-09-23,33,0.6831683168316831
PRAX,0.0,0.0,6,3,3,2025-09-24,34,0.6732673267326732
MCB,-20.0,0.0,1,0,1,2025-09-15,35,0.6633663366336633
GWRE,-38.0,0.0,1,0,1,2025-09-24,36,0.6534653465346535
AEHR,-5000.0,0.0,1,0,1,2025-09-24,37,0.6435643564356436
OKTA,-73000.0,0.0,3,1,2,2025-09-25,38,0.6336633663366337
SMTK,-150000.0,0.0,1,0,1,2025-09-10,39,0.6237623762376238
DVLT,-180000.0,0.0,1,0,1,2025-09-23,40,0.6138613861386139
TVA,-7500000.0,0.0,1,0,1,2025-09-18,41,0.6039603960396039
HNNA,-3.0,-33.0,1,0,1,2025-09-23,42,0.594059405940594
POWI,-456.0,-18892.079999999998,1,0,1,2025-09-24,43,0.5841584158415842
CDP,-1000.0,-30353.0,1,0,1,2025-09-25,44,0.5742574257425743
HDSN,-3519.0,-34873.29,3,1,2,2025-09-24,45,0.5643564356435644
ALK,-805.0,-43582.7,3,1,2,2025-09-23,46,0.5544554455445545
YELP,-1500.0,-47055.0,1,0,1,2025-09-25,47,0.5445544554455446
RGEN,-412.0,-50132.16,1,0,1,2025-09-25,48,0.5346534653465347
ELVN,-4300.0,-86129.0,2,0,2,2025-09-23,49,0.5247524752475248
HPE,-2905.2011,-93898.56,4,3,1,2025-09-23,50,0.5148514851485149
KELYA,-7840.0,-100858.46399999999,1,0,1,2025-09-25,51,0.504950495049505
MAC,-6000.0,-102780.0,1,0,1,2025-09-24,52,0.49504950495049505
DOMH,-14409.0,-115127.91,1,0,1,2025-09-23,53,0.48514851485148514
HIMS,-2100.0,-118692.0,3,1,2,2025-09-24,54,0.4752475247524752
NLCP,-12633.0,-177114.66,1,0,1,2025-09-25,55,0.4653465346534653
AREB,-175000.0,-182175.0,1,0,1,2025-09-25,56,0.4554455445544554
INFU,30325.0,-201078.5,2,1,1,2025-09-23,57,0.4455445544554455
VIAV,-18914.0,-230183.38,2,0,2,2025-09-25,58,0.4356435643564357
NGS,-8674.0,-247217.7065,2,0,2,2025-09-26,59,0.4257425742574258
IAS,-25901.0,-263672.18,1,0,1,2025-09-24,60,0.4158415841584159
TZOO,-27500.0,-288800.0,2,0,2,2025-09-24,61,0.40594059405940597
TREE,-4844.0,-341017.60000000003,6,2,4,2025-09-24,62,0.39603960396039606
ALGT,-5570.0,-345228.6,5,0,5,2025-09-23,63,0.38613861386138615
DASH,-1425.0,-379278.00000000006,3,1,2,2025-09-24,64,0.37623762376237624
META,-519.0,-399214.80000000005,1,0,1,2025-09-23,65,0.36633663366336633
CNR,-5000.0,-411000.0,1,0,1,2025-09-25,66,0.3564356435643564
CRCT,-63750.0,-423967.25,3,0,3,2025-09-25,67,0.3465346534653465
URG,-252087.0,-423985.1253,3,1,2,2025-09-24,68,0.3366336633663366
NRGV,-150000.0,-456225.0,2,0,2,2025-09-25,69,0.3267326732673267
SKYQ,-1224800.0,-521952.48,2,0,2,2025-09-24,70,0.3168316831683168
DXPE,-4477.0,-536165.52,1,0,1,2025-09-25,71,0.306930693069307
AVPT,-35000.0,-544618.8599999999,3,0,3,2025-09-23,72,0.29702970297029707
CRM,-2250.0,-553162.9758,7,1,6,2025-09-24,73,0.28712871287128716
INSW,-12249.0,-582194.97,3,1,2,2025-09-24,74,0.27722772277227725
PSTG,-7014.0,-602151.8999999999,1,0,1,2025-09-24,75,0.26732673267326734
CRWV,619840.0,-659525.4,3,2,1,2025-09-23,76,0.25742574257425743
MAMA,-65220.0,-710187.102,1,0,1,2025-09-23,77,0.24752475247524752
SJM,-6500.0,-715000.0,1,0,1,2025-09-24,78,0.2376237623762376
NHI,-9099.0,-855158.7000000002,4,2,2,2025-09-23,79,0.2277227722772277
PX,-91218.0,-1098021.4500000002,2,0,2,2025-09-23,80,0.2178217821782178
CIEN,-12847.0,-1185555.32,2,0,2,2025-09-24,81,0.20792079207920788
BWMN,-30000.0,-1280800.0,3,0,3,2025-09-24,82,0.19801980198019797
PATH,-122733.0,-1474845.6411000001,1,0,1,2025-09-25,83,0.18811881188118806
BKR,-32216.0,-1610800.0,5,1,4,2025-09-23,84,0.17821782178217827
GSAT,-55579.0,-1942606.7020999999,4,1,3,2025-09-25,85,0.16831683168316836
TEAM,-15330.0,-2530818.4219999993,12,0,12,2025-09-24,86,0.15841584158415845
GTLB,-63587.0,-3189676.5288,4,0,4,2025-09-23,87,0.14851485148514854
REPX,-135116.0,-3809676.006,3,0,3,2025-09-25,88,0.13861386138613863
UTHR,-13000.0,-4330121.1848,10,2,8,2025-09-24,89,0.12871287128712872
PINS,-124904.0,-4353517.9833,7,2,5,2025-09-24,90,0.1188118811881188
DGX,-28463.0,-5326041.818599999,6,2,4,2025-09-24,91,0.1089108910891089
MDB,-20000.0,-6437452.800000001,10,1,9,2025-09-23,92,0.09900990099009899
CVNA,-20000.0,-7586740.550000001,52,0,52,2025-09-24,93,0.08910891089108908
IOT,-1356000.0,-12768735.6112,18,2,16,2025-09-25,94,0.07920792079207917
HTOO,-4000.0,-13188750.0,7,0,7,2025-09-24,95,0.06930693069306926
NET,-128205.0,-17006714.7658,25,2,23,2025-09-25,96,0.05940594059405946
TMUS,-128852.0,-30754387.261699997,11,0,11,2025-09-25,97,0.04950495049504955
AVGO,-100000.0,-33958393.264,2,0,2,2025-09-23,98,0.03960396039603964
MNPR,-550229.0,-34999956.6442,1,0,1,2025-09-24,99,0.02970297029702973
GM,-595842.0,-35719537.0,9,3,6,2025-09-24,100,0.01980198019801982
CIFR,-5304540.0,-68905854.16,7,0,7,2025-09-25,101,0.00990099009900991
SMNR,-12500000.0,-200000000.0,2,0,2,2025-09-23,102,0.0
